# tau	correlation
0	2.2904978484643843
1	1.9619267747895988
2	1.1732545361953386
3	0.349306247971076
4	-0.1097428940201416
5	-0.04757636226494133
6	0.3842096133749084
7	0.8437772733364763
8	1.0150184692479423
9	0.7862886097130731
10	0.29025651323532464
11	-0.20403100332620727
12	-0.46593349566047854
13	-0.4321124610843753
14	-0.21737387252307241
15	-0.016082368454696197
16	0.030610689249361844
17	-0.08571223925610985
18	-0.2577374297149972
19	-0.3526226318604242
20	-0.3077608453750119
21	-0.16835476129805343
22	-0.04764619350426582
23	-0.04319511369888205
24	-0.1685651416567073
25	-0.3449958863211993
26	-0.45529660122007237
27	-0.4216876641927072
28	-0.25616480049142587
29	-0.052237987260807
30	0.0746180420134224
31	0.05887675724791525
32	-0.07556368549472485
33	-0.23145937527817667
34	-0.29842491822579287
35	-0.21965034780126244
36	-0.024732640253604905
37	0.19046507374303767
38	0.3238019073527129
39	0.32954071931898876
40	0.24483825706076137
41	0.16297359179323323
42	0.16909756827874592
43	0.2786700351410423
44	0.4192289000660422
45	0.47085441986871923
46	0.3436562918316903
47	0.044469155281356254
48	-0.31246159348273317
49	-0.5636427022856729
50	-0.5923216278859864
51	-0.4036788644922261
52	-0.1290576200505144
53	0.048703792329457124
54	0.005884854338327073
55	-0.24480398962829686
56	-0.56161205020787
57	-0.7640353631320177
58	-0.7491230341487356
59	-0.5572488441064645
60	-0.34207728379341446
61	-0.2631837606589436
62	-0.3737957044386788
63	-0.5823431445958921
64	-0.7178951051948773
65	-0.6570829852341864
66	-0.42349242456574165
67	-0.18441438064706028
68	-0.13846696135342026
69	-0.36604292924668386
70	-0.7478810634213567
71	-1.0183213660860455
72	-0.9307305048181614
73	-0.43164099536630846
74	0.27580948388190984
75	0.833739961839285
76	0.944306010776489
77	0.5654995147582651
78	-0.040970711272462906
79	-0.45065970654140264
80	-0.32796075378390815
81	0.3639250099543854
82	1.3261446353395825
83	2.087579535896405
84	2.2724562697582025
85	1.8120182659794795
86	0.975138615158356
87	0.2041884648163798
88	-0.14031211055646117
89	0.02760662112997924
90	0.498026825185465
91	0.9152449431329585
92	0.9973155397722978
93	0.6897474757954456
94	0.16928768971075672
95	-0.2883485977418121
96	-0.4823856991672559
97	-0.39309521134229
98	-0.16438769842848747
99	0.010425898181629934
100	0.01624458273338716
101	-0.12451575194933066
102	-0.289568158118688
103	-0.35476739691986103
104	-0.2812539804871072
105	-0.13533828136776685
106	-0.034442580313966624
107	-0.06156369804891653
108	-0.20778035370227743
109	-0.3793696967256574
110	-0.46141569827321993
111	-0.3937224151407459
112	-0.20949622914387997
113	-0.01354333272588155
114	0.08412609439769034
115	0.036440269595498384
116	-0.11287318544461325
117	-0.2574568242472143
118	-0.2937834464707667
119	-0.18335744703972343
120	0.025772137370349522
121	0.23033988717537188
122	0.33615764612121823
123	0.31561221929499544
124	0.2225778311891779
125	0.1547317329956237
126	0.1859524752692361
127	0.3114796166306264
